"","egoID","alter.initial","egoalt_relation","egoalt_relate_othr","egoalter_tie","egoalter_commfreq","alter.gender","alt.gender_othr","alter.age","alter.acad.val","alter.career.val","alter.edu","alter.edu.othr","e0102","e0103","e0203","e0104","e0204","e0304","e0105","e0205","e0305","e0405","e0106","e0206","e0306","e0406","e0506","e0107","e0207","e0307","e0407","e0507","e0607","e0108","e0208","e0308","e0408","e0508","e0608","e0708","e0109","e0209","e0309","e0409","e0509","e0609","e0709","e0809","e0110","e0210","e0310","e0410","e0510","e0610","e0710","e0810","e0910","alterID","alter.genderbi"
"789",2393,"a","1","",10,1,"1","",48,10,5,7,"","10","7","7","10","10","10","10","10","8","4","5","5","3","5","4","4","4","7","7","2","7","2","4","6","7","10","9","5","-2","1","1","-3","-2","3","4","6","2","2","5","7","7","5","6","5","5","239301",0
"790",2395,"ll","1","",10,1,"1","",50,10,8,7,"","10","3","0","6","0","6","0","0","10","5","9","9","0","1","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239501",0
"791",2396,"aw","1","",10,2,"2","",40,8,10,8,"","10","10","10","10","10","1","6","10","0","9","4","10","1","2","2","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239601",1
"792",2397,"mom","1","",5,2,"1","",56,10,10,8,"","","8","7","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","239701",0
"793",2399,"tc","1","",10,1,"1","",53,10,10,9,"","10","10","9","10","10","10","0","0","10","0","8","0","0","0","8","10","10","10","10","0","0","0","0","0","8","0","0","0","9","9","10","7","10","0","9","0","10","10","10","10","7","8","9","0","5","239901",0
"794",2400,"rc","1","",8,1,"1","",47,10,10,5,"","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240001",0
"795",2401,"md","1","",10,1,"1","",52,8,10,4,"","10","10","10","10","10","10","10","10","10","10","10","10","10","10","10","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240101",0
"796",2403,"mh","5","",6,1,"2","",34,10,10,5,"","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240301",1
"797",2405,"rb","5","",10,1,"2","",23,10,10,4,"","0","0","10","0","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240501",1
"798",2406,"bp","3","",10,1,"1","",19,7,2,4,"","-2","2","0","3","0","10","10","2","0","0","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240601",0
"799",2408,"jj","5","",10,1,"2","",19,10,10,4,"","0","0","10","0","10","10","0","10","10","10","","","","","","","","","","","10","","","","","","","","","","","","","","","","","","","","","","","","","240801",1
"800",2409,"mo","6","",9,1,"1","",18,8,8,4,"","10","9","8","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","240901",0
"801",2411,"cb","1","",10,1,"1","",48,10,10,5,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","241101",0
