"","egoID","from.alter","to.alter","weight_origin","weight"
"532",1965,"196501","196502",8,8
"533",1967,"196701","196702",10,10
"534",1969,"196901","196902",8,8
"536",1971,"197101","197102",10,10
"537",1975,"197501","197502",10,10
"538",1976,"197601","197602",9,9
"539",1978,"197801","197802",5,5
"541",1980,"198001","198002",10,10
"542",1983,"198301","198302",10,10
"544",1985,"198501","198502",10,10
"546",1987,"198701","198702",10,10
"548",1990,"199001","199002",4,4
"551",1996,"199601","199602",8,8
"552",1997,"199701","199702",5,5
"553",1999,"199901","199902",8,8
"555",2001,"200101","200102",8,8
"556",2002,"200201","200202",10,10
"559",2008,"200801","200802",8,8
"560",2009,"200901","200902",10,10
"562",2011,"201101","201102",10,10
"563",2013,"201301","201302",6,6
"565",2015,"201501","201502",8,8
"566",2016,"201601","201602",7,7
"567",2017,"201701","201702",6,6
"568",2019,"201901","201902",4,4
"569",2021,"202101","202102",2,2
"570",2022,"202201","202202",7,7
"571",2023,"202301","202302",3,3
"572",2024,"202401","202402",1,1
"574",2028,"202801","202802",9,9
"575",2030,"203001","203002",10,10
"578",2034,"203401","203402",10,10
